id	atu_id	alternatives
370	233D	[]
371	234	[['nightingale', 'crow', 'dove', 'fox', 'tick']]
372	234A*	[]
373	235	[]
375	235C*	[]
376	236	[[], ['dove', 'magpie', 'sparrow'], ['magpie', 'thrush', 'swallow', 'crow'], []]
377	236*	[[]]
378	237	[[], ['parrot', 'magpie'], [], ['sow', 'cat']]
379	238	[[], ['dove', 'falcon', 'crow'], ['frog', 'bee']]
380	239	[]
381	240	[[], ['magpie', 'crow', 'hen'], [], ['bird']]
383	240A*	[['bee', 'ant']]
384	241	[]
385	242	[[], ['crow', 'bird'], ['frog', 'toad']]
387	243A	[]
388	243*	[]
389	244	[['swan', 'peacock']]
392	244A*	[[], ['crane', 'stork']]
393	244B*	[]
394	244C*	[]
395	245	[]
397	246	[[], ['bird', 'fish', 'deer']]
398	247	[[], [], ['owl', 'raven'], [], ['eagle', 'hawk', 'wolf', 'sportsman']]
399	248	[]
400	248A	[]
402	250	[]
403	250A	[[], []]
404	253	[]
406	275	[[]]
407	275A	[[], ['hare'], ['tortoise', 'toad']]
408	275B	[['crayfish', 'crab', 'frog', 'toad', 'tick', 'chameleon']]
409	275C	[['hedgehog', 'tortoise', 'mussel', 'snail'], [], ['hare', 'fox', 'jackal']]
411	275C*	[]
412	276	[[]]
413	277	[['frog', 'ant'], [], ['crane', 'stork', 'snake']]
414	277A	[]
415	278	[[], ['frog', 'toad'], []]
416	278A	[]
417	278A*	[]
419	279*	[]
420	280	[['raven', 'bear'], []]
421	280A	[[], ['cricket', 'grasshopper']]
422	281	[[], [], [], [], []]
424	282A*	[[], [], []]
425	282B*	[]
426	282C*	[]
427	282D*	[]
428	283	[[], [], ['fly', 'wasp'], []]
430	283B*	[[]]
431	283D*	[]
432	283H*	[]
433	285	[]
434	285A	[[], [], [], [], [], [], ['snake', 'bird']]
435	285B	[]
437	285E	[['snake', 'weasel']]
438	285A*	[]
439	285B*	[[], ['man', 'woman'], []]
440	288B*	[['toad', 'beetle']]
441	288B**	[[]]
442	288C*	[]
443	289	[]
444	291	[['rabbit', 'tortoise'], ['elephant', 'hippopotamus', 'whale'], []]
445	292	[]
446	293	[[]]
447	293B*	[]
448	293C*	[[], [], []]
449	293D*	[[], []]
450	293E*	[[]]
452	293G*	[]
453	294	[[], []]
454	295	[[]]
455	296	[]
456	297B	[]
457	298	[]
458	298A	[]
459	298A*	[[], [], [], []]
461	298C*	[[]]
462	299	[]
